"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2005","3,202.50","3,278.65","3,279.35","3,185.45","-","-2.15%"
"Oct 26, 2005","3,272.70","3,276.95","3,309.25","3,267.10","-","-0.75%"
"Oct 25, 2005","3,297.45","3,256.40","3,326.05","3,248.70","-","1.49%"
"Oct 24, 2005","3,249.10","3,302.05","3,326.10","3,238.35","-","-1.52%"
"Oct 21, 2005","3,299.30","3,255.15","3,312.75","3,245.25","-","1.43%"
"Oct 20, 2005","3,252.90","3,248.80","3,303.45","3,207.40","-","1.02%"
"Oct 19, 2005","3,219.95","3,260.20","3,269.85","3,198.40","-","-1.43%"
"Oct 18, 2005","3,266.50","3,305.50","3,353.10","3,247.95","-","-1.24%"
"Oct 17, 2005","3,307.35","3,320.60","3,340.45","3,291.10","-","-0.28%"
"Oct 14, 2005","3,316.75","3,352.65","3,369.05","3,305.60","-","-1.17%"
"Oct 13, 2005","3,356.15","3,431.15","3,431.15","3,340.30","-","-2.15%"
"Oct 11, 2005","3,429.95","3,396.80","3,454.25","3,359.50","-","1.39%"
"Oct 10, 2005","3,382.95","3,368.35","3,407.05","3,359.80","-","1.13%"
"Oct 07, 2005","3,345.25","3,350.65","3,391.55","3,319.25","-","-0.15%"
"Oct 06, 2005","3,350.20","3,418.50","3,419.40","3,335.20","-","-2.27%"
"Oct 05, 2005","3,427.90","3,439.95","3,449.95","3,412.00","-","-0.23%"
"Oct 04, 2005","3,435.70","3,355.00","3,442.60","3,352.80","-","2.41%"
"Oct 03, 2005","3,354.85","3,279.10","3,359.80","3,279.10","-","1.77%"
"Sep 30, 2005","3,296.50","3,293.45","3,317.05","3,265.55","-","0.12%"
"Sep 29, 2005","3,292.50","3,280.40","3,319.55","3,272.10","-","0.83%"
"Sep 28, 2005","3,265.50","3,272.30","3,273.90","3,223.30","-","-0.22%"
"Sep 27, 2005","3,272.75","3,275.70","3,306.25","3,249.50","-","-0.05%"
"Sep 26, 2005","3,274.55","3,154.75","3,279.80","3,154.75","-","3.85%"
"Sep 23, 2005","3,153.20","3,145.75","3,203.65","3,138.20","-","-0.12%"
"Sep 22, 2005","3,156.95","3,272.50","3,275.40","3,142.45","-","-3.68%"
"Sep 21, 2005","3,277.45","3,322.95","3,327.55","3,208.55","-","-1.29%"
"Sep 20, 2005","3,320.25","3,278.75","3,338.45","3,246.50","-","1.27%"
"Sep 19, 2005","3,278.55","3,296.95","3,304.10","3,274.75","-","-0.19%"
"Sep 16, 2005","3,284.65","3,285.80","3,296.95","3,261.35","-","0.14%"
"Sep 15, 2005","3,280.20","3,232.00","3,283.30","3,231.60","-","1.52%"
"Sep 14, 2005","3,231.10","3,238.75","3,267.40","3,201.95","-","-0.22%"
"Sep 13, 2005","3,238.35","3,225.05","3,241.55","3,215.65","-","0.38%"
"Sep 12, 2005","3,226.10","3,343.90","3,343.90","3,206.50","-","1.26%"
"Sep 09, 2005","3,186.05","3,167.65","3,216.95","3,167.65","-","-0.55%"
"Sep 08, 2005","3,203.80","3,186.10","3,210.00","3,185.20","-","0.64%"
"Sep 06, 2005","3,183.30","3,186.70","3,205.60","3,164.40","-","-0.10%"
"Sep 05, 2005","3,186.40","3,224.10","3,241.45","3,179.10","-","-0.67%"
"Sep 02, 2005","3,208.05","3,223.60","3,243.50","3,186.65","-","-0.35%"
"Sep 01, 2005","3,219.30","3,198.10","3,232.75","3,198.10","-","1.33%"
"Aug 31, 2005","3,177.15","3,132.05","3,185.35","3,117.05","-","1.42%"
"Aug 30, 2005","3,132.80","3,065.75","3,137.30","3,065.75","-","2.34%"
"Aug 29, 2005","3,061.10","3,084.45","3,086.75","3,019.95","-","-0.46%"
"Aug 26, 2005","3,075.25","3,049.20","3,092.00","3,027.85","-","0.83%"
"Aug 25, 2005","3,049.85","2,998.15","3,058.90","2,987.10","-","1.69%"
"Aug 24, 2005","2,999.25","3,037.85","3,037.85","2,978.30","-","-1.10%"
"Aug 23, 2005","3,032.65","3,069.60","3,092.95","3,023.20","-","-1.21%"
"Aug 22, 2005","3,069.65","3,070.60","3,116.25","3,061.15","-","0.17%"
"Aug 19, 2005","3,064.35","3,067.30","3,085.85","3,058.10","-","-0.11%"
"Aug 18, 2005","3,067.60","3,074.45","3,094.25","3,058.25","-","-0.05%"
"Aug 17, 2005","3,069.15","3,009.65","3,075.90","2,998.55","-","1.94%"
"Aug 16, 2005","3,010.75","3,007.25","3,031.10","2,997.55","-","-0.14%"
"Aug 12, 2005","3,015.10","3,080.00","3,086.75","3,009.05","-","-1.65%"
"Aug 11, 2005","3,065.80","3,073.95","3,086.15","3,047.80","-","0.00%"
"Aug 10, 2005","3,065.65","3,007.40","3,072.50","3,007.40","-","2.37%"
"Aug 09, 2005","2,994.55","2,985.00","3,015.05","2,967.50","-","0.08%"
"Aug 08, 2005","2,992.20","3,025.15","3,029.25","2,979.15","-","-1.12%"
"Aug 05, 2005","3,025.95","3,052.25","3,062.95","3,020.95","-","-1.06%"
"Aug 04, 2005","3,058.45","3,079.50","3,098.25","3,036.45","-","-0.45%"
"Aug 03, 2005","3,072.35","3,021.85","3,082.00","3,021.85","-","1.76%"
"Aug 02, 2005","3,019.15","2,984.70","3,027.10","2,966.55","-","2.14%"
"Aug 01, 2005","2,955.85","2,980.70","2,982.00","2,934.05","-","-1.01%"
"Jul 29, 2005","2,985.95","2,975.95","3,008.30","2,970.10","-","0.04%"
"Jul 27, 2005","2,984.90","2,962.45","2,990.20","2,950.90","-","1.26%"
"Jul 26, 2005","2,947.70","2,965.65","2,969.85","2,932.60","-","-0.59%"
"Jul 25, 2005","2,965.15","2,986.40","3,001.45","2,960.85","-","-0.66%"
"Jul 22, 2005","2,984.95","2,958.30","2,989.75","2,915.40","-","0.91%"
"Jul 21, 2005","2,958.10","2,983.75","3,016.15","2,945.95","-","-0.59%"
"Jul 20, 2005","2,975.75","2,982.45","3,000.90","2,972.40","-","-0.19%"
"Jul 19, 2005","2,981.50","2,992.40","3,004.75","2,968.95","-","-0.03%"
"Jul 18, 2005","2,982.35","2,914.10","2,992.10","2,914.10","-","3.06%"
"Jul 15, 2005","2,893.85","2,868.50","2,898.95","2,844.50","-","1.86%"
"Jul 14, 2005","2,840.95","2,917.95","2,935.45","2,834.95","-","-2.58%"
"Jul 13, 2005","2,916.30","2,926.85","2,954.60","2,908.80","-","-0.49%"
"Jul 12, 2005","2,930.75","2,984.85","2,989.35","2,905.50","-","-2.42%"
"Jul 11, 2005","3,003.50","3,000.05","3,041.00","2,992.00","-","0.13%"
"Jul 08, 2005","2,999.75","2,974.20","3,017.20","2,974.20","-","1.01%"
"Jul 07, 2005","2,969.75","3,033.30","3,051.45","2,958.25","-","-1.68%"
"Jul 06, 2005","3,020.50","3,010.80","3,033.55","3,003.00","-","0.46%"
"Jul 05, 2005","3,006.60","3,081.40","3,095.30","2,998.00","-","-2.36%"
"Jul 04, 2005","3,079.15","3,051.20","3,083.25","3,038.50","-","0.91%"
"Jul 01, 2005","3,051.35","3,060.65","3,062.75","3,041.80","-","-0.68%"
"Jun 30, 2005","3,072.10","3,009.15","3,082.95","3,009.15","-","1.64%"
"Jun 29, 2005","3,022.60","2,991.75","3,028.90","2,985.85","-","1.19%"
"Jun 28, 2005","2,987.20","3,024.95","3,031.50","2,981.15","-","-1.18%"
"Jun 27, 2005","3,023.00","3,009.85","3,047.85","3,009.85","-","-0.01%"
"Jun 24, 2005","3,023.25","3,021.00","3,046.65","2,988.80","-","-0.25%"
"Jun 23, 2005","3,030.85","3,062.35","3,067.35","3,026.85","-","-1.23%"
"Jun 22, 2005","3,068.70","3,034.60","3,079.70","3,034.60","-","0.72%"
"Jun 21, 2005","3,046.65","3,028.75","3,059.25","2,998.85","-","0.73%"
"Jun 20, 2005","3,024.55","2,931.40","3,029.15","2,931.40","-","2.41%"
"Jun 17, 2005","2,953.30","2,903.95","2,962.25","2,903.95","-","0.07%"
"Jun 16, 2005","2,951.10","2,933.75","2,963.85","2,931.55","-","0.34%"
"Jun 15, 2005","2,941.20","2,915.60","2,945.25","2,913.55","-","0.96%"
"Jun 14, 2005","2,913.30","2,920.55","2,926.00","2,898.55","-","0.15%"
"Jun 13, 2005","2,908.90","2,907.55","2,923.70","2,887.00","-","0.44%"
"Jun 10, 2005","2,896.25","2,914.75","2,944.65","2,890.45","-","-0.56%"
"Jun 09, 2005","2,912.50","2,958.05","2,959.65","2,904.50","-","-1.53%"
"Jun 08, 2005","2,957.80","2,913.65","2,964.00","2,909.85","-","1.56%"
"Jun 07, 2005","2,912.30","2,908.75","2,919.55","2,890.80","-","0.65%"
"Jun 06, 2005","2,893.45","2,908.50","2,928.05","2,884.30","-","-0.69%"
"Jun 04, 2005","2,913.45","2,918.10","2,918.10","2,901.30","-","-0.23%"
"Jun 03, 2005","2,920.15","2,862.25","2,926.50","2,854.60","-","2.14%"
"Jun 02, 2005","2,858.90","2,902.65","2,914.10","2,852.95","-","-1.43%"
"Jun 01, 2005","2,900.25","2,933.50","2,933.65","2,894.35","-","-1.12%"
"May 31, 2005","2,933.00","2,900.45","2,938.45","2,890.00","-","1.15%"
"May 30, 2005","2,899.55","2,883.90","2,925.25","2,881.95","-","0.10%"
"May 27, 2005","2,896.55","2,903.85","2,926.45","2,880.00","-","0.26%"
"May 26, 2005","2,888.95","2,770.65","2,903.55","2,769.40","-","2.14%"
"May 25, 2005","2,828.55","2,791.60","2,844.20","2,772.80","-","1.02%"
"May 24, 2005","2,800.05","2,812.25","2,812.25","2,765.00","-","1.01%"
"May 23, 2005","2,772.00","2,725.90","2,784.35","2,718.00","-","1.74%"
"May 20, 2005","2,724.55","2,694.60","2,735.20","2,673.05","-","0.99%"
"May 19, 2005","2,697.75","2,665.50","2,713.35","2,665.50","-","1.59%"
"May 18, 2005","2,655.60","2,673.00","2,673.00","2,620.70","-","-0.65%"
"May 17, 2005","2,672.95","2,707.75","2,715.45","2,663.90","-","-0.48%"
"May 16, 2005","2,685.95","2,644.05","2,690.45","2,644.05","-","1.60%"
"May 13, 2005","2,643.75","2,662.35","2,662.35","2,637.70","-","-0.69%"
"May 12, 2005","2,662.10","2,651.50","2,669.65","2,645.60","-","0.26%"
"May 11, 2005","2,655.10","2,660.95","2,661.45","2,634.50","-","-0.52%"
"May 10, 2005","2,669.00","2,690.90","2,695.75","2,661.55","-","-0.75%"
"May 09, 2005","2,689.30","2,644.75","2,695.95","2,644.75","-","1.84%"
"May 06, 2005","2,640.80","2,530.85","2,649.65","2,530.85","-","1.21%"
"May 05, 2005","2,609.10","2,582.60","2,626.10","2,582.60","-","1.47%"
"May 04, 2005","2,571.35","2,545.05","2,576.00","2,545.05","-","1.19%"
"May 03, 2005","2,541.05","2,563.05","2,571.25","2,537.60","-","-0.85%"
"May 02, 2005","2,562.95","2,588.15","2,588.15","2,539.65","-","0.91%"
"Apr 29, 2005","2,539.75","2,577.90","2,577.90","2,531.55","-","-0.84%"
"Apr 28, 2005","2,561.20","2,549.55","2,575.35","2,539.85","-","0.25%"
"Apr 27, 2005","2,554.90","2,567.60","2,578.45","2,534.30","-","-1.61%"
"Apr 26, 2005","2,596.80","2,633.50","2,633.50","2,593.00","-","-1.47%"
"Apr 25, 2005","2,635.65","2,656.95","2,656.95","2,623.00","-","-0.13%"
"Apr 22, 2005","2,639.20","2,598.95","2,648.30","2,598.95","-","3.39%"
"Apr 21, 2005","2,552.70","2,522.85","2,557.90","2,496.40","-","1.54%"
"Apr 20, 2005","2,514.10","2,535.55","2,535.55","2,461.90","-","-1.05%"
"Apr 19, 2005","2,540.90","2,650.25","2,694.10","2,512.85","-","-3.84%"
"Apr 18, 2005","2,642.45","2,658.90","2,682.65","2,615.85","-","-1.03%"
"Apr 15, 2005","2,670.05","2,775.35","2,775.35","2,664.45","-","-5.76%"
"Apr 13, 2005","2,833.10","2,835.55","2,857.55","2,812.60","-","0.26%"
"Apr 12, 2005","2,825.80","2,785.00","2,834.90","2,784.45","-","0.95%"
"Apr 11, 2005","2,799.25","2,851.00","2,855.65","2,792.40","-","-2.01%"
"Apr 08, 2005","2,856.70","2,918.50","2,920.70","2,850.35","-","-2.21%"
"Apr 07, 2005","2,921.35","2,945.15","2,967.35","2,912.30","-","-0.71%"
"Apr 06, 2005","2,942.10","2,920.25","2,948.90","2,916.85","-","0.85%"
"Apr 05, 2005","2,917.20","2,997.65","2,997.65","2,907.70","-","-0.57%"
"Apr 04, 2005","2,934.00","2,945.15","2,982.45","2,924.30","-","-0.42%"
"Apr 01, 2005","2,946.35","2,927.70","2,951.75","2,891.20","-","0.79%"
"Mar 31, 2005","2,923.15","2,847.90","2,949.65","2,836.50","-","3.91%"
"Mar 30, 2005","2,813.05","2,801.35","2,829.30","2,782.60","-","0.27%"
"Mar 29, 2005","2,805.40","2,835.15","2,835.15","2,787.50","-","-1.04%"
"Mar 28, 2005","2,834.90","2,817.70","2,874.10","2,817.70","-","0.65%"
"Mar 24, 2005","2,816.55","2,854.25","2,874.45","2,805.15","-","-1.32%"
"Mar 23, 2005","2,854.20","2,912.45","2,918.15","2,842.80","-","-2.12%"
"Mar 22, 2005","2,916.05","2,962.55","2,962.55","2,911.05","-","-1.14%"
"Mar 21, 2005","2,949.75","2,947.95","2,967.55","2,931.25","-","0.10%"
"Mar 18, 2005","2,946.80","2,929.65","2,950.85","2,884.50","-","0.58%"
"Mar 17, 2005","2,929.95","2,937.10","2,961.95","2,920.50","-","-0.25%"
"Mar 16, 2005","2,937.20","2,939.70","2,964.65","2,930.85","-","-0.09%"
"Mar 15, 2005","2,939.75","2,963.35","2,968.50","2,931.80","-","-0.77%"
"Mar 14, 2005","2,962.55","2,940.45","2,985.05","2,923.35","-","0.57%"
"Mar 11, 2005","2,945.85","2,946.80","2,973.40","2,938.95","-","-0.01%"
"Mar 10, 2005","2,946.10","2,963.15","2,965.25","2,920.65","-","-0.55%"
"Mar 09, 2005","2,962.40","2,969.25","2,995.10","2,934.05","-","-0.40%"
"Mar 08, 2005","2,974.35","2,959.70","2,998.00","2,946.75","-","0.53%"
"Mar 07, 2005","2,958.55","2,947.25","2,964.30","2,935.75","-","0.54%"
"Mar 04, 2005","2,942.55","2,911.85","2,952.15","2,911.85","-","1.22%"
"Mar 03, 2005","2,907.15","2,856.05","2,917.95","2,855.35","-","1.80%"
"Mar 02, 2005","2,855.75","2,849.80","2,875.15","2,831.65","-","0.27%"
"Mar 01, 2005","2,848.20","2,918.35","2,918.35","2,842.55","-","-2.43%"
"Feb 28, 2005","2,919.05","2,856.60","2,925.25","2,822.00","-","2.25%"
"Feb 25, 2005","2,854.70","2,851.60","2,882.95","2,837.20","-","0.00%"
"Feb 24, 2005","2,854.70","2,855.30","2,876.25","2,848.15","-","0.17%"
"Feb 23, 2005","2,849.95","2,872.35","2,872.35","2,843.45","-","-0.84%"
"Feb 22, 2005","2,874.15","2,867.40","2,881.00","2,838.55","-","0.61%"
"Feb 21, 2005","2,856.75","2,891.90","2,891.90","2,844.90","-","-1.16%"
"Feb 18, 2005","2,890.30","2,904.30","2,913.85","2,881.90","-","-0.58%"
"Feb 17, 2005","2,907.30","2,923.40","2,923.40","2,873.55","-","-0.58%"
"Feb 16, 2005","2,924.40","2,931.60","2,958.25","2,907.85","-","-0.21%"
"Feb 15, 2005","2,930.50","2,943.20","2,943.20","2,905.90","-","-0.46%"
"Feb 14, 2005","2,944.15","2,897.90","2,957.55","2,897.90","-","2.52%"
"Feb 11, 2005","2,871.75","2,842.35","2,875.10","2,833.10","-","1.84%"
"Feb 10, 2005","2,819.90","2,836.30","2,836.30","2,807.25","-","-0.58%"
"Feb 09, 2005","2,836.25","2,828.15","2,852.25","2,828.15","-","0.32%"
"Feb 08, 2005","2,827.30","2,825.85","2,835.30","2,805.15","-","0.40%"
